task_id,level,FDK,CLH,CLO,SYS,GND,IGE,OGE,SND,VIB,MTN,VIS,NAV,ATM,OST
ae-3.4.13,TP,R,S,S,S,S,S,S,N,N,R,N,N,G,N
ae-3.4.13,T,G,R,R,R,R,R,R,N,N,N,N,N,G,N
ae-3.4.14,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.14,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.6.1,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.6.1,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.6.2,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.6.2,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.6.3,TP,S,S,S,S,N,N,S,R,R,R,N,N,G,N
ae-3.6.3,T,G,G,G,R,N,N,G,G,N,N,N,N,G,N
ae-3.6.4,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.6.4,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.6.5,TP,S,S,S,S,S,S,S,R,R,S,S,S,S,S
ae-3.6.5,T,R,R,R,R,R,R,R,G,N,N,R,N,R,G
ae-3.6.6,TP,S,R,R,S,N,N,S,G,R,R,N,N,G,R
ae-3.6.6,T,G,G,G,R,N,N,R,N,N,N,N,N,G,N
ae-3.6.7,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-3.6.7,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-3.6.8,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-3.6.8,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-3.6.9,TP,S,S,S,S,S,S,S,R,R,S,S,S,S,S
ae-3.6.9,T,G,R,R,R,N,N,G,N,N,N,N,N,G,N
ae-3.7.1,TP,S,S,S,S,S,S,S,R,S,S,S,S,S,S
ae-3.7.1,T,S,S,S,S,S,S,S,R,S,S,S,S,S,S
ae-3.7.2,TP,S,S,S,S,S,S,S,R,S,S,S,S,S,S
ae-3.7.2,T,S,S,S,S,S,S,S,R,S,S,S,S,S,S
ae-3.8.1,TP,R,R,R,S,N,N,R,G,N,N,N,S,R,N
ae-3.8.1,T,G,G,G,R,N,N,G,N,N,N,N,R,G,N
ae-3.8.2,TP,R,R,R,S,N,N,R,G,N,N,N,S,R,N
ae-3.8.2,T,G,G,G,R,N,N,G,N,N,N,N,R,G,N
ae-3.8.3.1,TP,S,S,S,S,N,N,S,R,N,N,R,S,R,G
ae-3.8.3.1,T,G,R,R,R,N,N,G,G,N,N,G,R,G,G
ae-3.8.3.2,TP,S,S,S,S,N,N,S,R,N,N,R,S,R,G
ae-3.8.3.2,T,G,R,R,R,N,N,G,G,N,N,G,R,G,G
